PhotoName,HStage,Type,NType
PGC0009530,10,I,2
PGC0025524,-5,E,0
PGC0002149,-3,S,1
PGC0004363,-3,S,1
PGC0004540,6,S,1
PGC0041963,-5,E,0
PGC0028414,-5,E,0
PGC0042108,10,I,2
PGC0033662,-5,E,0
PGC0039113,10,I,2
PGC0007536,-2,S,1
PGC0040790,10,I,2
PGC0000243,-2,S,1
PGC0005645,4,S,1
PGC0006450,-3,S,1
PGC0035039,10,I,2
PGC0034062,-5,E,0
PGC0041636,10,I,2
PGC0041457,11,I,2
PGC0033180,-5,E,0
PGC0010117,10,I,2
PGC0040005,10,I,2
PGC0002269,6,S,1
PGC0007063,-1,S,1
PGC0021600,10,I,2
PGC0039431,10,I,2
PGC0042831,-5,E,0
PGC0039799,10,I,2
PGC0041435,11,I,2
PGC0030187,10,I,2
PGC0052199,-5,E,0
PGC0001306,1,S,1
PGC0007366,3,S,1
PGC0051751,-5,E,0
PGC0042169,10,I,2
PGC0039659,-5,E,0
PGC0004415,0,S,1
PGC0041505,11,I,2
PGC0041217,-5,E,0
PGC0003817,-4,E,0
PGC0026504,-5,E,0
PGC0039034,-5,E,0
PGC0040485,11,I,2
PGC0049677,-5,E,0
PGC0036713,10,I,2
PGC0010649,-6,E,0
PGC0042081,10,I,2
PGC0039628,10,I,2
PGC0012801,-6,E,0
PGC0041104,-5,E,0
PGC0011170,-5,E,0
PGC0041095,-5,E,0
PGC0041177,10,I,2
PGC0026142,10,I,2
PGC0029340,-5,E,0
PGC0026571,-6,E,0
PGC0001621,5,S,1
PGC0048277,-4,E,0
PGC0031845,-5,E,0
PGC0000255,9,S,1
PGC0050331,-5,E,0
PGC0006637,9,S,1
PGC0049248,-5,E,0
PGC0029338,-5,E,0
PGC0001862,6,S,1
PGC0005220,10,I,2
PGC0007341,1,S,1
PGC0032383,-4,E,0
PGC0006505,7,S,1
PGC0027784,10,I,2
PGC0038624,11,I,2
PGC0033346,10,I,2
PGC0037050,10,I,2
PGC0028408,10,I,2
PGC0007022,8,S,1
PGC0032103,10,I,2
PGC0034124,10,I,2
PGC0035720,-5,E,0
PGC0024669,-5,E,0
PGC0006005,3,S,1
PGC0002332,-3,S,1
PGC0004376,-3,S,1
PGC0001713,7,S,1
PGC0002151,7,S,1
PGC0046836,-5,E,0
PGC0004805,8,S,1
PGC0039695,-6,E,0
PGC0029220,-5,E,0
PGC0040964,11,I,2
PGC0030686,-5,E,0
PGC0035856,10,I,2
PGC0008225,1,S,1
PGC0008232,4,S,1
PGC0046809,-4,E,0
PGC0021517,10,I,2
PGC0006855,6,S,1
PGC0030001,-5,E,0
PGC0026377,-5,E,0
PGC0040014,10,I,2
PGC0005326,-3,S,1
PGC0002352,1,S,1
PGC0038674,10,I,2
PGC0006516,8,S,1
PGC0002076,-3,S,1
PGC0041766,10,I,2
PGC0034934,11,I,2
PGC0052754,-5,E,0
PGC0042253,11,I,2
PGC0050028,-5,E,0
PGC0007846,-2,S,1
PGC0002597,3,S,1
PGC0031477,10,I,2
PGC0041258,10,I,2
PGC0041155,11,I,2
PGC0039265,10,I,2
PGC0028789,10,I,2
PGC0021542,-5,E,0
PGC0004897,8,S,1
PGC0004416,10,I,2
PGC0000218,0,S,1
PGC0005291,8,S,1
PGC0005261,0,S,1
PGC0039999,10,I,2
PGC0005803,6,S,1
PGC0025144,-5,E,0
PGC0041020,10,I,2
PGC0051006,-5,E,0
PGC0039615,10,I,2
PGC0050080,-5,E,0
PGC0001478,6,S,1
PGC0040754,10,I,2
PGC0002522,-6,E,0
PGC0002035,2,S,1
PGC0002800,2,S,1
PGC0001224,3,S,1
PGC0007979,4,S,1
PGC0027785,10,I,2
PGC0039215,11,I,2
PGC0045756,-5,E,0
PGC0044867,-5,E,0
PGC0035852,11,I,2
PGC0022350,-5,E,0
PGC0006364,8,S,1
PGC0023701,-5,E,0
PGC0029822,-5,E,0
PGC0022305,10,I,2
PGC0006090,-3,S,1
PGC0009283,11,I,2
PGC0040727,11,I,2
PGC0007748,-3,S,1
PGC0036504,-5,E,0
PGC0005415,8,S,1
PGC0040886,-5,E,0
PGC0003314,6,S,1
PGC0033902,-4,E,0
PGC0001309,-5,E,0
PGC0047339,-5,E,0
PGC0029468,10,I,2
PGC0008029,-1,S,1
PGC0034969,11,I,2
PGC0007485,6,S,1
PGC0032385,10,I,2
PGC0028370,10,I,2
PGC0005436,-3,S,1
PGC0050588,-5,E,0
PGC0008718,-5,E,0
PGC0040032,11,I,2
PGC0028317,10,I,2
PGC0007064,-4,E,0
PGC0033578,-5,E,0
PGC0005527,5,S,1
PGC0045502,-5,E,0
PGC0041861,10,I,2
PGC0026398,-4,E,0
PGC0006627,6,S,1
PGC0007905,7,S,1
PGC0044807,-5,E,0
PGC0005298,6,S,1
PGC0038781,10,I,2
PGC0003312,-3,S,1
PGC0007090,-3,S,1
PGC0002768,2,S,1
PGC0003232,10,I,2
PGC0041846,10,I,2
PGC0045472,-5,E,0
PGC0001909,4,S,1
PGC0040852,11,I,2
PGC0034476,10,I,2
PGC0005771,6,S,1
PGC0008397,9,S,1
PGC0040904,10,I,2
PGC0004484,1,S,1
PGC0001933,6,S,1
PGC0007835,7,S,1
PGC0034685,-5,E,0
PGC0008228,1,S,1
PGC0028868,10,I,2
PGC0022950,-5,E,0
PGC0035731,-5,E,0
PGC0052116,-5,E,0
PGC0007998,10,I,2
PGC0028714,10,I,2
PGC0005932,2,S,1
PGC0025521,10,I,2
PGC0003781,8,S,1
PGC0003072,7,S,1
PGC0038692,10,I,2
PGC0001237,3,S,1
PGC0033959,10,I,2
PGC0007533,6,S,1
PGC0022838,-5,E,0
PGC0041865,10,I,2
PGC0041395,10,I,2
PGC0002615,6,S,1
PGC0039316,10,I,2
PGC0022321,-6,E,0
PGC0004734,6,S,1
PGC0040363,-5,E,0
PGC0042223,11,I,2
PGC0041667,10,I,2
PGC0039145,10,I,2
PGC0047257,-5,E,0
PGC0026000,-5,E,0
PGC0041283,10,I,2
PGC0005330,8,S,1
